Presion,Temperatura,v,u,h,s,,
200,250,1.1989,2731.4,2971.2,7.71,,
200,300,1.31623,2808.8,3072.1,7.8941,,
200,400,1.54934,2967.2,3277,8.2236,,
200,500,1.78142,3131.4,3487.7,8.5153,,
200,600,2.01302,3302.2,3704.8,8.7793,,
200,700,2.24434,3479.9,3928.8,9.0221,,
200,800,2.4755,3664.7,4159.8,9.2479,,
200,900,2.70656,3856.3,4397.7,9.4598,,
200,1000,2.93755,4054.8,4642.3,9.6599,,
200,1100,3.16848,4259.6,4893.3,9.8497,,
200,1200,3.39938,4470.5,5150.4,10.0304,,
200,1300,3.63026,4687.1,5413.1,10.2029,,
300,133.52,0.60582,2543.2,2724.9,6.9917,,
300,150,0.63402,2571,2761.2,7.0792,,
300,200,0.71643,2651,2865.9,7.3132,,
300,250,0.79645,2728.9,2967.9,7.518,,
300,300,0.87535,2807,3069.6,7.7037,,
300,400,1.03155,2966,3275.5,8.0347,,
300,500,1.18672,3130.6,3486.6,8.3271,,
300,600,1.34139,3301.6,3704,8.5915,,
300,700,1.4958,3479.5,3928.2,8.8345,,
300,800,1.65004,3664.3,4159.3,9.0605,,
300,900,1.80417,3856,4397.3,9.2725,,
300,1000,1.95824,4054.5,4642,9.4726,,
300,1100,2.11226,4259.4,4893.1,9.6624,,
300,1200,2.26624,4470.3,5150.2,9.8431,,
300,1300,2.42019,4686.9,5413,10.0157,,
400,143.61,0.46242,2553.1,2738.1,6.8955,,
400,150,0.47088,2564.4,2752.8,6.9306,,
400,200,0.53434,2647.2,2860.9,7.1723,,
400,250,0.5952,2726.4,2964.5,7.3804,,
400,300,0.65489,2805.1,3067.1,7.5677,,
400,400,0.77265,2964.9,3273.9,7.9003,,
400,500,0.88936,3129.8,3485.5,8.1933,,
400,600,1.00558,3301,3703.3,8.458,,
400,700,1.12152,3479,3927.6,8.7012,,
400,800,1.2373,3663.9,4158.9,8.9274,,
400,900,1.35298,3855.7,4396.9,9.1394,,
400,1000,1.46859,4054.3,4641.7,9.3396,,
400,1100,1.58414,4259.2,4892.9,9.5295,,
400,1200,1.69966,4470.2,5150,9.7102,,
400,1300,1.81516,4686.7,5412.8,9.8828,,
500,151.83,0.37483,2560.7,2748.1,6.8207,,
500,200,0.42503,2643.3,2855.8,7.061,,
500,250,0.47443,2723.8,2961,7.2725,,
500,300,0.52261,2803.3,3064.6,7.4614,,
500,350,0.57015,2883,3168.1,7.6346,,
500,400,0.61731,2963.7,3272.4,7.7956,,
500,500,0.71095,3129,3484.5,8.0893,,
500,600,0.80409,3300.4,3702.5,8.3544,,
500,700,0.89696,3478.6,3927,8.5978,,
500,800,0.98966,3663.6,4158.4,8.824,,
500,900,1.08227,3855.4,4396.6,9.0362,,
500,1000,1.1748,4054,4641.4,9.2364,,
500,1100,1.26728,4259,4892.6,9.4263,,
500,1200,1.35972,4470,5149.8,9.6071,,
500,1300,1.45214,4686.6,5412.6,9.7797,,
600,158.83,0.3156,2566.8,2756.2,6.7593,,
600,200,0.35212,2639.4,2850.6,6.9683,,
600,250,0.3939,2721.2,2957.6,7.1833,,
600,300,0.43442,2801.4,3062,7.374,,
600,350,0.47428,2881.6,3166.1,7.5481,,
600,400,0.51374,2962.5,3270.8,7.7097,,
600,500,0.592,3128.2,3483.4,8.1941,,
600,600,0.66976,3299.8,3701.7,8.2695,,
600,700,0.74725,3478.1,3926.4,8.5132,,
600,800,0.82457,3663.2,4157.9,8.7395,,
600,900,1.08227,3855.1,4396.2,8.9518,,
600,1000,1.1748,4053.8,4641.1,9.1521,,
600,1100,1.26728,4258.8,4892.4,9.342,,
600,1200,1.35972,4469.8,5149.6,9.5229,,
600,1300,1.45213,4686.4,5412.5,9.6955,,
800,170.41,0.24035,2576,2768.3,6.6616,,
800,200,0.26088,2631.1,2839.8,6.8177,,
800,250,0.29321,2715.9,2950.4,7.0402,,
800,300,0.32416,2797.5,3056.9,7.2345,,
800,350,0.35442,2878.6,3162.2,7.4107,,
800,400,0.38429,2960.2,3267.7,7.5735,,
800,500,0.44332,3126.6,3481.3,7.8692,,
800,600,0.50186,3298.7,3700.1,8.1354,,
800,700,0.56011,3477.2,3925.3,8.3794,,
800,800,0.6182,3662.5,4157,8.6061,,
800,900,0.67619,3854.5,4395.5,8.8185,,
800,1000,0.73411,4053.3,4640.5,9.0189,,
800,1100,0.79197,4258.3,4891.9,9.209,,
800,1200,0.8498,4469.4,5149.3,9.3898,,
800,1300,0.90761,4686.1,5412.2,9.5625,,
1000,179.88,0.19437,2582.8,2777.1,6.585,,
1000,200,0.20602,2622.3,2828.3,6.6956,,
1000,250,0.23275,2710.4,2943.1,6.9265,,
1000,300,0.25799,2793.7,3051.6,7.1246,,
1000,350,0.2825,2875.7,3158.2,7.3029,,
1000,400,0.30661,2957.9,3264.5,7.467,,
1000,500,0.35411,3125,3479.1,7.7642,,
1000,600,0.40111,3297.5,3698.6,8.0311,,
1000,700,0.44783,3476.3,3924.1,8.2755,,
1000,800,0.49438,3661.7,4156.1,8.5024,,
1000,900,0.54083,3853.9,4394.8,8.715,,
1000,1000,0.58721,4052.7,4640,8.9155,,
1000,1100,0.63354,4257.9,4891.4,9.1057,,
1000,1200,0.67983,4469,5148.9,9.2866,,
1000,1300,0.7261,4685.8,5411.9,9.4593,,aqui vuelve a estar bien
1200,187.96,0.16326,2587.8,2783.8,6.5217,,
1200,200,0.16934,2612.9,2816.1,6.5909,,
1200,250,0.19241,2704.7,2935.6,6.8313,,
1200,300,0.21386,2789.7,3046.3,7.0335,,
1200,350,0.23455,2872.7,3154.2,7.2139,,
1200,400,0.25482,2955.5,3261.3,7.3793,,
1200,500,0.29464,3123.4,3477,7.6779,,
1200,600,0.33395,3296.3,3697,7.9456,,
1200,700,0.37297,3475.3,3922.9,8.1904,,
1200,800,0.41184,3661,4155.2,8.4176,,
1200,900,0.45059,3853.3,4394,8.6303,,
1200,1000,0.48928,4052.2,4639.4,8.831,,
1200,1100,0.52792,4257.5,4891,9.0212,,
1200,1200,0.56652,4468.7,5148.5,9.2022,,
1200,1300,0.60509,4685.5,5411.6,9.375,,
1400,195.04,0.14078,2591.8,2788.9,6.4675,,
1400,200,0.14303,2602.7,2803,6.4975,,
1400,250,0.16356,2698.9,2927.9,6.7488,,
1400,300,0.18233,2785.7,3040.9,6.9553,,
1400,350,0.20029,2869.7,3150.1,7.1379,,
1400,400,0.21782,2953.1,3258.1,7.3046,,
1400,500,0.25216,3121.8,3474.8,7.6047,,
1400,600,0.28597,3295.1,3695.5,7.873,,
1400,700,0.31951,3474.4,3921.7,8.1183,,
1400,800,0.35288,3660.3,4154.3,8.3458,,
1400,900,0.38614,3852.7,4393.3,8.5587,,
1400,1000,0.41933,4051.7,4638.8,8.7595,,
1400,1100,0.45247,4257,4890.5,8.9497,,
1400,1200,0.48558,4468.3,5148.1,9.1308,,
1400,1300,0.51866,4685.1,5411.3,9.3036,,
1600,201.37,0.12374,2594.8,2792.8,6.42,,
1600,225,0.13293,2645.1,2857.8,6.5537,,
1600,250,0.1419,2692.9,2919.9,6.6753,,
1600,300,0.15866,2781.6,3035.4,6.8864,,
1600,350,0.17459,2866.6,3146,7.0713,,
1600,400,0.19007,2950.8,3254.9,7.2394,,
1600,500,0.22029,3120.1,3472.6,7.541,,
1600,600,0.24999,3293.9,3693.9,7.8101,,
1600,700,0.27941,3473.5,3920.5,8.0558,,
1600,800,0.30865,3659.5,4153.4,8.2834,,
1600,900,0.3378,3852.1,4392.6,8.4965,,
1600,1000,0.36687,4051.2,4638.2,8.6974,,
1600,1100,0.39589,4256.6,4890,8.8878,,
1600,1200,0.42488,4467.9,5147.7,9.0689,,
1600,1300,0.45383,4684.8,5410.9,9.2418,,
1800,207.11,0.11037,2597.3,2795.9,6.3775,,
1800,225,0.11678,2637,2847.2,6.4825,,
1800,250,0.12502,2686.7,2911.7,6.6088,,
1800,300,0.14025,2777.4,3029.9,6.8246,,
1800,350,0.1546,2863.6,3141.9,7.012,,
1800,400,0.16849,2948.3,3251.6,7.1814,,
1800,500,0.19551,3118.5,3470.4,7.4845,,
1800,600,0.222,3292.7,3692.3,7.7543,,
1800,700,0.24822,3472.6,3919.4,8.0005,,
1800,800,0.27426,3658.8,4152.4,8.2284,,
1800,900,0.3002,3851.5,4391.9,8.4417,,
1800,1000,0.32606,4050.7,4637.6,8.6427,,
1800,1100,0.35188,4256.2,4889.6,8.8331,,
1800,1200,0.37766,4467.6,5147.3,9.0143,,
1800,1300,0.40341,4684.5,5410.6,9.1872,,
2000,212.38,0.09959,2599.1,2798.3,6.339,,
2000,225,0.10381,2628.5,2836.1,6.416,,
2000,250,0.1115,2680.3,2903.3,6.5475,,
2000,300,0.12551,2773.2,3024.2,6.7684,,
2000,350,0.1386,2860.5,3137.7,6.9583,,
2000,400,0.15122,2945.9,3248.4,7.1292,,
2000,500,0.17568,3116.9,3468.3,7.4337,,
2000,600,0.19962,3291.5,3690.7,7.7043,,
2000,700,0.22326,3471.7,3918.2,7.9509,,
2000,800,0.24674,3658,4151.5,8.1791,,
2000,900,0.27012,3850.9,4391.1,8.3925,,
2000,1000,0.29342,4050.2,4637.1,8.5936,,
2000,1100,0.31667,4255.7,4889.1,8.7842,,
2000,1200,0.33989,4467.2,5147,8.9654,,
