Presion,Temperatura,v,u,h,s,,
50000,650,0.006957,3095.6,3443.5,6.0373,,
50000,700,0.007717,3228.7,3614.6,6.2179,,
50000,800,0.009073,3472.2,3925.8,6.5225,,
50000,900,0.010296,3702,4216.8,6.7819,,
50000,1000,0.011441,3927.4,4499.4,7.0131,,
50000,1100,0.012534,4152.2,4778.9,7.2244,,
50000,1200,0.01359,4378.6,5058.1,7.4207,,
50000,1300,0.01462,4607.5,5338.5,7.6048,,
60000,375,0.001503,1609.7,1699.9,3.7149,,
60000,400,0.001633,1745.2,1843.2,3.9317,,
60000,425,0.001816,1892.9,2001.8,4.163,,
60000,450,0.002086,2055.1,2180.2,4.414,,
60000,500,0.002952,2393.2,2570.3,4.9356,,
60000,550,0.003955,2664.6,2901.9,5.3517,,
60000,600,0.004833,2866.8,3156.8,5.6527,,
60000,650,0.005591,3031.3,3366.8,5.8867,,
60000,700,0.006265,3175.4,3551.3,6.0814,,
60000,800,0.007456,3432.6,3880,6.4033,,
60000,900,0.008519,3670.9,4182.1,6.6725,,
60000,1000,0.009504,3902,4472.2,6.9099,,
60000,1100,0.010439,4130.9,4757.3,7.1255,,
60000,1200,0.011339,4360.5,5040.8,7.3248,,
60000,1300,0.012213,4591.8,5324.5,7.5111,,
